feature,importance,importance_type
ext_sources_mean,369.0,feature_importances_
credit_to_annuity_ratio,352.0,feature_importances_
days_birth,297.0,feature_importances_
ext_source_1,279.0,feature_importances_
ext_source_2,272.0,feature_importances_
payment_rate,270.0,feature_importances_
credit_to_goods_ratio,268.0,feature_importances_
amt_annuity,262.0,feature_importances_
days_employed,262.0,feature_importances_
approved_cnt_payment_mean,220.0,feature_importances_
ext_source_3,217.0,feature_importances_
days_employed_perc,211.0,feature_importances_
prev_cnt_payment_mean,184.0,feature_importances_
new_active_debt_ratio,176.0,feature_importances_
annuity_to_income_ratio,174.0,feature_importances_
instal_amt_payment_sum,170.0,feature_importances_
new_late_payment_ratio,161.0,feature_importances_
own_car_age,153.0,feature_importances_
buro_amt_credit_max_overdue_mean,141.0,feature_importances_
code_gender,139.0,feature_importances_
amt_goods_price,130.0,feature_importances_
days_id_publish,130.0,feature_importances_
active_days_credit_max,124.0,feature_importances_
active_days_credit_enddate_max,124.0,feature_importances_
amt_credit,123.0,feature_importances_
instal_days_entry_payment_max,123.0,feature_importances_
new_bureau_debt_ratio,118.0,feature_importances_
instal_payment_diff_mean,113.0,feature_importances_
instal_dpd_mean,109.0,feature_importances_
cc_cnt_drawings_atm_current_mean,107.0,feature_importances_
instal_amt_payment_min,106.0,feature_importances_
days_registration,106.0,feature_importances_
closed_days_credit_max,104.0,feature_importances_
instal_dbd_sum,103.0,feature_importances_
buro_days_credit_max,100.0,feature_importances_
prev_name_yield_group_low_action_mean,100.0,feature_importances_
prev_app_credit_perc_min,95.0,feature_importances_
instal_payment_perc_mean,95.0,feature_importances_
active_days_credit_enddate_mean,94.0,feature_importances_
active_days_credit_enddate_min,93.0,feature_importances_
active_amt_credit_sum_sum,92.0,feature_importances_
active_days_credit_update_mean,91.0,feature_importances_
active_amt_credit_max_overdue_mean,90.0,feature_importances_
instal_amt_payment_mean,87.0,feature_importances_
closed_amt_credit_sum_sum,85.0,feature_importances_
buro_days_credit_enddate_max,85.0,feature_importances_
new_current_to_approved_credit_ratio,83.0,feature_importances_
approved_days_decision_max,82.0,feature_importances_
instal_days_entry_payment_mean,81.0,feature_importances_
approved_amt_down_payment_max,81.0,feature_importances_
active_amt_credit_sum_max,80.0,feature_importances_
id_publish_to_birth_ratio,80.0,feature_importances_
buro_days_credit_mean,79.0,feature_importances_
prev_app_credit_perc_mean,79.0,feature_importances_
instal_dbd_mean,79.0,feature_importances_
name_family_status_married,75.0,feature_importances_
pos_name_contract_status_active_mean,75.0,feature_importances_
days_last_phone_change,75.0,feature_importances_
region_population_relative,74.0,feature_importances_
active_count,74.0,feature_importances_
closed_days_credit_enddate_max,73.0,feature_importances_
pos_months_balance_size,73.0,feature_importances_
cc_cnt_drawings_current_var,72.0,feature_importances_
instal_days_entry_payment_sum,72.0,feature_importances_
closed_amt_credit_sum_mean,71.0,feature_importances_
approved_days_decision_min,71.0,feature_importances_
ext_sources_std,70.0,feature_importances_
prev_amt_down_payment_max,68.0,feature_importances_
approved_amt_annuity_mean,68.0,feature_importances_
buro_amt_credit_sum_mean,68.0,feature_importances_
instal_dbd_max,67.0,feature_importances_
prev_product_combination_cash_x_sell_low_mean,66.0,feature_importances_
closed_days_credit_var,66.0,feature_importances_
prev_amt_annuity_min,65.0,feature_importances_
instal_payment_diff_sum,65.0,feature_importances_
region_rating_client_w_city,65.0,feature_importances_
buro_days_credit_enddate_mean,65.0,feature_importances_
new_current_to_income_credit_ratio,64.0,feature_importances_
name_education_type_higher_education,62.0,feature_importances_
new_pos_dpd_ratio,61.0,feature_importances_
prev_days_decision_max,61.0,feature_importances_
cc_cnt_drawings_current_mean,60.0,feature_importances_
buro_amt_credit_sum_max,60.0,feature_importances_
buro_days_credit_update_mean,59.0,feature_importances_
closed_amt_credit_sum_max,59.0,feature_importances_
approved_cnt_payment_sum,58.0,feature_importances_
closed_days_credit_update_mean,57.0,feature_importances_
instal_amt_instalment_max,57.0,feature_importances_
active_days_credit_mean,57.0,feature_importances_
phone_change_to_birth_ratio,56.0,feature_importances_
pos_count,55.0,feature_importances_
buro_credit_type_mortgage_mean,55.0,feature_importances_
prev_app_credit_perc_var,55.0,feature_importances_
prev_amt_annuity_mean,54.0,feature_importances_
new_refusal_rate,54.0,feature_importances_
instal_amt_instalment_sum,53.0,feature_importances_
approved_amt_annuity_max,53.0,feature_importances_
instal_payment_perc_sum,53.0,feature_importances_
active_amt_credit_sum_mean,52.0,feature_importances_
prev_days_decision_mean,52.0,feature_importances_
buro_days_credit_var,52.0,feature_importances_
prev_name_yield_group_low_normal_mean,52.0,feature_importances_
active_amt_credit_sum_debt_max,52.0,feature_importances_
instal_amt_payment_max,52.0,feature_importances_
flag_document_3,51.0,feature_importances_
new_credit_to_prev_credit_ratio,51.0,feature_importances_
approved_app_credit_perc_mean,51.0,feature_importances_
buro_credit_type_microloan_mean,50.0,feature_importances_
approved_days_decision_mean,50.0,feature_importances_
credit_to_income_ratio,50.0,feature_importances_
approved_app_credit_perc_var,49.0,feature_importances_
active_days_credit_var,49.0,feature_importances_
prev_days_decision_min,49.0,feature_importances_
pos_months_balance_max,49.0,feature_importances_
instal_payment_diff_max,48.0,feature_importances_
pos_name_contract_status_completed_mean,48.0,feature_importances_
pos_months_balance_mean,47.0,feature_importances_
approved_app_credit_perc_max,47.0,feature_importances_
prev_amt_annuity_max,47.0,feature_importances_
buro_status_0_mean_mean,47.0,feature_importances_
refused_days_decision_max,46.0,feature_importances_
approved_hour_appr_process_start_mean,46.0,feature_importances_
prev_name_contract_status_refused_mean,46.0,feature_importances_
active_amt_credit_sum_debt_mean,46.0,feature_importances_
buro_amt_credit_sum_sum,45.0,feature_importances_
name_education_type_secondary_secondary_special,45.0,feature_importances_
prev_product_combination_pos_industry_with_interest_mean,44.0,feature_importances_
approved_app_credit_perc_min,44.0,feature_importances_
closed_days_credit_min,44.0,feature_importances_
closed_amt_credit_max_overdue_mean,43.0,feature_importances_
buro_credit_active_closed_mean,43.0,feature_importances_
prev_hour_appr_process_start_mean,43.0,feature_importances_
prev_app_credit_perc_max,42.0,feature_importances_
cc_cnt_drawings_atm_current_var,42.0,feature_importances_
closed_days_credit_enddate_min,41.0,feature_importances_
buro_amt_credit_sum_debt_mean,40.0,feature_importances_
instal_payment_perc_var,40.0,feature_importances_
refused_amt_annuity_min,40.0,feature_importances_
approved_amt_credit_max,39.0,feature_importances_
prev_name_yield_group_high_mean,39.0,feature_importances_
approved_amt_goods_price_max,39.0,feature_importances_
prev_name_goods_category_furniture_mean,39.0,feature_importances_
prev_rate_down_payment_max,38.0,feature_importances_
active_amt_credit_sum_limit_mean,38.0,feature_importances_
apartments_mode,38.0,feature_importances_
years_beginexpluatation_mode,38.0,feature_importances_
amt_income_total,38.0,feature_importances_
def_30_cnt_social_circle,38.0,feature_importances_
buro_days_credit_enddate_min,38.0,feature_importances_
cc_amt_credit_limit_actual_mean,37.0,feature_importances_
active_days_credit_min,37.0,feature_importances_
buro_days_credit_min,37.0,feature_importances_
buro_status_1_mean_mean,37.0,feature_importances_
approved_rate_down_payment_max,37.0,feature_importances_
def_60_cnt_social_circle,36.0,feature_importances_
prev_name_product_type_walk_in_mean,36.0,feature_importances_
closed_days_credit_enddate_mean,36.0,feature_importances_
prev_weekday_appr_process_start_wednesday_mean,36.0,feature_importances_
amt_req_credit_bureau_qrt,36.0,feature_importances_
prev_amt_down_payment_mean,34.0,feature_importances_
prev_name_type_suite_nan_mean,34.0,feature_importances_
income_per_person,34.0,feature_importances_
cc_amt_credit_limit_actual_sum,33.0,feature_importances_
approved_amt_goods_price_min,33.0,feature_importances_
livingarea_avg,33.0,feature_importances_
prev_code_reject_reason_xap_mean,33.0,feature_importances_
buro_amt_credit_sum_debt_max,33.0,feature_importances_
refused_days_decision_mean,31.0,feature_importances_
approved_amt_down_payment_mean,31.0,feature_importances_
landarea_avg,31.0,feature_importances_
prev_cnt_payment_sum,31.0,feature_importances_
prev_rate_down_payment_mean,31.0,feature_importances_
buro_status_x_mean_mean,31.0,feature_importances_
buro_amt_credit_sum_limit_mean,31.0,feature_importances_
approved_amt_annuity_min,30.0,feature_importances_
instal_amt_instalment_mean,30.0,feature_importances_
prev_product_combination_cash_x_sell_high_mean,30.0,feature_importances_
prev_amt_credit_min,30.0,feature_importances_
name_contract_type_cash_loans,30.0,feature_importances_
active_months_balance_size_mean,30.0,feature_importances_
closed_days_credit_mean,30.0,feature_importances_
totalarea_mode,29.0,feature_importances_
prev_product_combination_cash_street_low_mean,29.0,feature_importances_
reg_city_not_live_city,29.0,feature_importances_
approved_amt_credit_mean,28.0,feature_importances_
prev_name_portfolio_pos_mean,28.0,feature_importances_
prev_amt_goods_price_min,28.0,feature_importances_
instal_dpd_sum,28.0,feature_importances_
occupation_type_core_staff,28.0,feature_importances_
approved_hour_appr_process_start_max,27.0,feature_importances_
refused_app_credit_perc_min,27.0,feature_importances_
approved_amt_credit_min,27.0,feature_importances_
cc_amt_drawings_current_mean,27.0,feature_importances_
apartments_avg,27.0,feature_importances_
basementarea_mode,27.0,feature_importances_
prev_amt_credit_mean,27.0,feature_importances_
instal_count,27.0,feature_importances_
approved_rate_down_payment_mean,26.0,feature_importances_
buro_credit_active_active_mean,26.0,feature_importances_
commonarea_mode,26.0,feature_importances_
years_beginexpluatation_avg,26.0,feature_importances_
livingapartments_medi,26.0,feature_importances_
livingarea_medi,26.0,feature_importances_
approved_hour_appr_process_start_min,25.0,feature_importances_
approved_amt_application_mean,25.0,feature_importances_
instal_num_instalment_version_nunique,25.0,feature_importances_
active_amt_annuity_mean,25.0,feature_importances_
name_income_type_state_servant,25.0,feature_importances_
prev_amt_application_mean,25.0,feature_importances_
prev_channel_type_credit_and_cash_offices_mean,25.0,feature_importances_
prev_name_type_suite_unaccompanied_mean,25.0,feature_importances_
buro_count,24.0,feature_importances_
cc_amt_inst_min_regularity_var,24.0,feature_importances_
pos_sk_dpd_def_mean,24.0,feature_importances_
buro_credit_type_consumer_credit_mean,24.0,feature_importances_
prev_name_client_type_repeater_mean,24.0,feature_importances_
buro_amt_credit_sum_debt_sum,24.0,feature_importances_
flag_work_phone,24.0,feature_importances_
hour_appr_process_start,24.0,feature_importances_
nonlivingarea_medi,24.0,feature_importances_
livingarea_mode,24.0,feature_importances_
prev_name_yield_group_middle_mean,23.0,feature_importances_
refused_amt_annuity_mean,23.0,feature_importances_
new_approval_rate,23.0,feature_importances_
years_beginexpluatation_medi,23.0,feature_importances_
active_amt_annuity_max,23.0,feature_importances_
active_amt_credit_sum_limit_sum,23.0,feature_importances_
cc_amt_balance_mean,23.0,feature_importances_
buro_credit_type_credit_card_mean,23.0,feature_importances_
prev_name_seller_industry_connectivity_mean,23.0,feature_importances_
prev_channel_type_ap_cash_loan_mean,23.0,feature_importances_
active_amt_credit_sum_debt_sum,23.0,feature_importances_
pos_sk_dpd_def_max,23.0,feature_importances_
refused_app_credit_perc_var,23.0,feature_importances_
commonarea_medi,22.0,feature_importances_
years_build_mode,22.0,feature_importances_
approved_amt_goods_price_mean,22.0,feature_importances_
prev_weekday_appr_process_start_monday_mean,22.0,feature_importances_
prev_weekday_appr_process_start_friday_mean,22.0,feature_importances_
prev_name_product_type_x_sell_mean,22.0,feature_importances_
instal_payment_diff_var,22.0,feature_importances_
prev_amt_down_payment_min,21.0,feature_importances_
cc_amt_drawings_atm_current_mean,21.0,feature_importances_
prev_amt_goods_price_max,21.0,feature_importances_
buro_amt_credit_sum_overdue_mean,21.0,feature_importances_
prev_name_contract_status_approved_mean,21.0,feature_importances_
prev_channel_type_channel_of_corporate_sales_mean,21.0,feature_importances_
buro_months_balance_size_sum,21.0,feature_importances_
instal_dpd_max,21.0,feature_importances_
prev_name_goods_category_photo_cinema_equipment_mean,20.0,feature_importances_
prev_amt_goods_price_mean,20.0,feature_importances_
instal_payment_perc_max,20.0,feature_importances_
cc_amt_credit_limit_actual_var,20.0,feature_importances_
prev_product_combination_cash_x_sell_middle_mean,20.0,feature_importances_
buro_amt_credit_sum_limit_sum,20.0,feature_importances_
prev_name_seller_industry_consumer_electronics_mean,20.0,feature_importances_
cc_amt_receivable_principal_mean,20.0,feature_importances_
prev_channel_type_stone_mean,19.0,feature_importances_
organization_type_self_employed,19.0,feature_importances_
closed_months_balance_size_sum,19.0,feature_importances_
refused_cnt_payment_mean,19.0,feature_importances_
prev_weekday_appr_process_start_saturday_mean,19.0,feature_importances_
