feature_count,rank,feature
20,1,ext_sources_mean
20,2,credit_to_annuity_ratio
20,3,days_birth
20,4,ext_source_1
20,5,ext_source_2
20,6,payment_rate
20,7,credit_to_goods_ratio
20,8,amt_annuity
20,9,days_employed
20,10,approved_cnt_payment_mean
20,11,ext_source_3
20,12,days_employed_perc
20,13,prev_cnt_payment_mean
20,14,new_active_debt_ratio
20,15,annuity_to_income_ratio
20,16,instal_amt_payment_sum
20,17,new_late_payment_ratio
20,18,own_car_age
20,19,buro_amt_credit_max_overdue_mean
20,20,code_gender
30,1,ext_sources_mean
30,2,credit_to_annuity_ratio
30,3,days_birth
30,4,ext_source_1
30,5,ext_source_2
30,6,payment_rate
30,7,credit_to_goods_ratio
30,8,amt_annuity
30,9,days_employed
30,10,approved_cnt_payment_mean
30,11,ext_source_3
30,12,days_employed_perc
30,13,prev_cnt_payment_mean
30,14,new_active_debt_ratio
30,15,annuity_to_income_ratio
30,16,instal_amt_payment_sum
30,17,new_late_payment_ratio
30,18,own_car_age
30,19,buro_amt_credit_max_overdue_mean
30,20,code_gender
30,21,amt_goods_price
30,22,days_id_publish
30,23,active_days_credit_max
30,24,active_days_credit_enddate_max
30,25,amt_credit
30,26,instal_days_entry_payment_max
30,27,new_bureau_debt_ratio
30,28,instal_payment_diff_mean
30,29,instal_dpd_mean
30,30,cc_cnt_drawings_atm_current_mean
50,1,ext_sources_mean
50,2,credit_to_annuity_ratio
50,3,days_birth
50,4,ext_source_1
50,5,ext_source_2
50,6,payment_rate
50,7,credit_to_goods_ratio
50,8,amt_annuity
50,9,days_employed
50,10,approved_cnt_payment_mean
50,11,ext_source_3
50,12,days_employed_perc
50,13,prev_cnt_payment_mean
50,14,new_active_debt_ratio
50,15,annuity_to_income_ratio
50,16,instal_amt_payment_sum
50,17,new_late_payment_ratio
50,18,own_car_age
50,19,buro_amt_credit_max_overdue_mean
50,20,code_gender
50,21,amt_goods_price
50,22,days_id_publish
50,23,active_days_credit_max
50,24,active_days_credit_enddate_max
50,25,amt_credit
50,26,instal_days_entry_payment_max
50,27,new_bureau_debt_ratio
50,28,instal_payment_diff_mean
50,29,instal_dpd_mean
50,30,cc_cnt_drawings_atm_current_mean
50,31,instal_amt_payment_min
50,32,days_registration
50,33,closed_days_credit_max
50,34,instal_dbd_sum
50,35,buro_days_credit_max
50,36,prev_name_yield_group_low_action_mean
50,37,prev_app_credit_perc_min
50,38,instal_payment_perc_mean
50,39,active_days_credit_enddate_mean
50,40,active_days_credit_enddate_min
50,41,active_amt_credit_sum_sum
50,42,active_days_credit_update_mean
50,43,active_amt_credit_max_overdue_mean
50,44,instal_amt_payment_mean
50,45,closed_amt_credit_sum_sum
50,46,buro_days_credit_enddate_max
50,47,new_current_to_approved_credit_ratio
50,48,approved_days_decision_max
50,49,instal_days_entry_payment_mean
50,50,approved_amt_down_payment_max
100,1,ext_sources_mean
100,2,credit_to_annuity_ratio
100,3,days_birth
100,4,ext_source_1
100,5,ext_source_2
100,6,payment_rate
100,7,credit_to_goods_ratio
100,8,amt_annuity
100,9,days_employed
100,10,approved_cnt_payment_mean
100,11,ext_source_3
100,12,days_employed_perc
100,13,prev_cnt_payment_mean
100,14,new_active_debt_ratio
100,15,annuity_to_income_ratio
100,16,instal_amt_payment_sum
100,17,new_late_payment_ratio
100,18,own_car_age
100,19,buro_amt_credit_max_overdue_mean
100,20,code_gender
100,21,amt_goods_price
100,22,days_id_publish
100,23,active_days_credit_max
100,24,active_days_credit_enddate_max
100,25,amt_credit
100,26,instal_days_entry_payment_max
100,27,new_bureau_debt_ratio
100,28,instal_payment_diff_mean
100,29,instal_dpd_mean
100,30,cc_cnt_drawings_atm_current_mean
100,31,instal_amt_payment_min
100,32,days_registration
100,33,closed_days_credit_max
100,34,instal_dbd_sum
100,35,buro_days_credit_max
100,36,prev_name_yield_group_low_action_mean
100,37,prev_app_credit_perc_min
100,38,instal_payment_perc_mean
100,39,active_days_credit_enddate_mean
100,40,active_days_credit_enddate_min
100,41,active_amt_credit_sum_sum
100,42,active_days_credit_update_mean
100,43,active_amt_credit_max_overdue_mean
100,44,instal_amt_payment_mean
100,45,closed_amt_credit_sum_sum
100,46,buro_days_credit_enddate_max
100,47,new_current_to_approved_credit_ratio
100,48,approved_days_decision_max
100,49,instal_days_entry_payment_mean
100,50,approved_amt_down_payment_max
100,51,active_amt_credit_sum_max
100,52,id_publish_to_birth_ratio
100,53,buro_days_credit_mean
100,54,prev_app_credit_perc_mean
100,55,instal_dbd_mean
100,56,name_family_status_married
100,57,pos_name_contract_status_active_mean
100,58,days_last_phone_change
100,59,region_population_relative
100,60,active_count
100,61,closed_days_credit_enddate_max
100,62,pos_months_balance_size
100,63,cc_cnt_drawings_current_var
100,64,instal_days_entry_payment_sum
100,65,closed_amt_credit_sum_mean
100,66,approved_days_decision_min
100,67,ext_sources_std
100,68,prev_amt_down_payment_max
100,69,approved_amt_annuity_mean
100,70,buro_amt_credit_sum_mean
100,71,instal_dbd_max
100,72,prev_product_combination_cash_x_sell_low_mean
100,73,closed_days_credit_var
100,74,prev_amt_annuity_min
100,75,instal_payment_diff_sum
100,76,region_rating_client_w_city
100,77,buro_days_credit_enddate_mean
100,78,new_current_to_income_credit_ratio
100,79,name_education_type_higher_education
100,80,new_pos_dpd_ratio
100,81,prev_days_decision_max
100,82,cc_cnt_drawings_current_mean
100,83,buro_amt_credit_sum_max
100,84,buro_days_credit_update_mean
100,85,closed_amt_credit_sum_max
100,86,approved_cnt_payment_sum
100,87,closed_days_credit_update_mean
100,88,instal_amt_instalment_max
100,89,active_days_credit_mean
100,90,phone_change_to_birth_ratio
100,91,pos_count
100,92,buro_credit_type_mortgage_mean
100,93,prev_app_credit_perc_var
100,94,prev_amt_annuity_mean
100,95,new_refusal_rate
100,96,instal_amt_instalment_sum
100,97,approved_amt_annuity_max
100,98,instal_payment_perc_sum
100,99,active_amt_credit_sum_mean
100,100,prev_days_decision_mean
