feature,missing_ratio_train,dtype,nunique_train
refused_amt_down_payment_min,0.8531155388332623,float64,5273
refused_amt_down_payment_max,0.8531155388332623,float64,6494
refused_amt_down_payment_mean,0.8531155388332623,float64,9014
refused_rate_down_payment_min,0.8531155388332623,float64,11695
refused_rate_down_payment_max,0.8531155388332623,float64,15641
refused_rate_down_payment_mean,0.8531155388332623,float64,17145
refused_app_credit_perc_var,0.8401402244501751,float64,31695
cc_amt_payment_current_var,0.8028695281733425,float64,59041
cc_cnt_drawings_other_current_var,0.8026288832449343,float64,1499
cc_amt_drawings_other_current_var,0.8026288832449343,float64,4861
cc_cnt_drawings_pos_current_var,0.8026288832449343,float64,21978
cc_cnt_drawings_atm_current_var,0.8026288832449343,float64,29341
cc_amt_drawings_pos_current_var,0.8026288832449343,float64,33669
cc_amt_drawings_atm_current_var,0.8026288832449343,float64,43704
cc_amt_payment_current_min,0.8014354144783696,float64,9923
cc_amt_payment_current_max,0.8014354144783696,float64,25753
cc_amt_payment_current_mean,0.8014354144783696,float64,56764
cc_cnt_drawings_other_current_min,0.8011752577990094,float64,3
cc_amt_drawings_other_current_min,0.8011752577990094,float64,6
cc_cnt_drawings_other_current_max,0.8011752577990094,float64,11
cc_cnt_drawings_atm_current_min,0.8011752577990094,float64,23
cc_cnt_drawings_atm_current_max,0.8011752577990094,float64,44
cc_cnt_drawings_pos_current_min,0.8011752577990094,float64,45
cc_cnt_drawings_pos_current_max,0.8011752577990094,float64,123
cc_amt_drawings_atm_current_min,0.8011752577990094,float64,138
cc_cnt_drawings_other_current_mean,0.8011752577990094,float64,449
cc_amt_drawings_atm_current_max,0.8011752577990094,float64,1305
cc_amt_drawings_other_current_max,0.8011752577990094,float64,1339
cc_amt_drawings_pos_current_min,0.8011752577990094,float64,2459
cc_cnt_drawings_atm_current_mean,0.8011752577990094,float64,3385
cc_amt_drawings_other_current_mean,0.8011752577990094,float64,3923
cc_cnt_drawings_pos_current_mean,0.8011752577990094,float64,5024
cc_amt_drawings_atm_current_mean,0.8011752577990094,float64,22420
cc_amt_drawings_pos_current_max,0.8011752577990094,float64,28865
cc_amt_drawings_pos_current_mean,0.8011752577990094,float64,33412
active_amt_annuity_max,0.8005053543496571,float64,19214
active_amt_annuity_mean,0.8005053543496571,float64,26843
closed_amt_annuity_max,0.7853414719014526,float64,17576
closed_amt_annuity_mean,0.7853414719014526,float64,25564
active_months_balance_max_max,0.7511633881505136,float64,92
active_months_balance_min_min,0.7511633881505136,float64,97
active_months_balance_size_mean,0.7511633881505136,float64,1351
buro_amt_annuity_max,0.7398140530134273,float64,23582
buro_amt_annuity_mean,0.7398140530134273,float64,40578
closed_months_balance_max_max,0.7374531311482341,float64,95
closed_months_balance_min_min,0.7374531311482341,float64,97
closed_months_balance_size_mean,0.7374531311482341,float64,4049
cc_name_contract_status_approved_var,0.719443785019528,float64,6
cc_name_contract_status_refused_var,0.719443785019528,float64,15
cc_name_contract_status_demand_var,0.719443785019528,float64,16
cc_name_contract_status_sent_proposal_var,0.719443785019528,float64,121
cc_name_contract_status_signed_var,0.719443785019528,float64,702
cc_months_balance_var,0.719443785019528,float64,1183
cc_name_contract_status_completed_var,0.719443785019528,float64,2837
cc_name_contract_status_active_var,0.719443785019528,float64,3107
cc_sk_dpd_def_var,0.719443785019528,float64,3919
cc_sk_dpd_var,0.719443785019528,float64,6779
cc_amt_credit_limit_actual_var,0.719443785019528,float64,24877
cc_cnt_instalment_mature_cum_var,0.719443785019528,float64,25349
cc_cnt_drawings_current_var,0.719443785019528,float64,41524
cc_amt_drawings_current_var,0.719443785019528,float64,56040
cc_amt_inst_min_regularity_var,0.719443785019528,float64,57582
cc_amt_receivable_principal_var,0.719443785019528,float64,58564
cc_amt_balance_var,0.719443785019528,float64,59357
cc_amt_recivable_var,0.719443785019528,float64,59445
cc_amt_total_receivable_var,0.719443785019528,float64,59446
cc_amt_payment_total_current_var,0.719443785019528,float64,59991
cc_name_contract_status_active_min,0.7173885472525828,float64,2
cc_name_contract_status_active_max,0.7173885472525828,float64,2
cc_name_contract_status_approved_max,0.7173885472525828,float64,2
cc_name_contract_status_approved_sum,0.7173885472525828,float64,2
cc_name_contract_status_completed_min,0.7173885472525828,float64,2
cc_name_contract_status_completed_max,0.7173885472525828,float64,2
cc_name_contract_status_demand_max,0.7173885472525828,float64,2
cc_name_contract_status_refused_max,0.7173885472525828,float64,2
cc_name_contract_status_refused_sum,0.7173885472525828,float64,2
cc_name_contract_status_sent_proposal_max,0.7173885472525828,float64,2
cc_name_contract_status_sent_proposal_sum,0.7173885472525828,float64,2
cc_name_contract_status_signed_min,0.7173885472525828,float64,2
cc_name_contract_status_signed_max,0.7173885472525828,float64,2
cc_months_balance_max,0.7173885472525828,float64,5
